test_ID,Dataset,Adjacencia,k,Ponderacao,Simetrica,Conectado,Propagacao,PorcRot,NumExp,SeedExp,TempExp,NumNRot,Acuracia,F_measure
40,ace_ECFP_4.data,MST,2,HM,True,True,LapRLS,0.02,0,76,0.5401016751925151,0,0.5,0.3184275184275184
41,ace_ECFP_4.data,MST,2,HM,True,True,LapRLS,0.05,0,127,0.5504462957382202,0,0.5,0.3230963883137796
42,ace_ECFP_4.data,MST,2,HM,True,True,LapRLS,0.08,0,40,0.5609781901041667,0,0.5,0.2813295975547631
43,ace_ECFP_4.data,MST,2,HM,True,True,LapRLS,0.1,0,65,0.5719420433044433,0,0.5,0.2803391626921038
44,ace_ECFP_4.data,MST,2,LLE,True,True,LapRLS,0.02,0,76,0.5837125619252522,0,0.5,0.3184275184275184
45,ace_ECFP_4.data,MST,2,LLE,True,True,LapRLS,0.05,0,127,0.5943723479906718,0,0.5,0.3230963883137796
46,ace_ECFP_4.data,MST,2,LLE,True,True,LapRLS,0.08,0,40,0.6053552627563477,0,0.5,0.2813295975547631
47,ace_ECFP_4.data,MST,2,LLE,True,True,LapRLS,0.1,0,65,0.6157374064127604,0,0.5,0.2803391626921038
48,ace_ECFP_4.data,mutKNN,4,RBF,True,True,LapRLS,0.02,0,76,0.6298692941665649,0,0.5,0.3184275184275184
49,ace_ECFP_4.data,mutKNN,4,RBF,True,True,LapRLS,0.05,0,127,0.640838102499644,0,0.5,0.3230963883137796
50,ace_ECFP_4.data,mutKNN,4,RBF,True,True,LapRLS,0.08,0,40,0.6512694954872131,0,0.5,0.2813295975547631
51,ace_ECFP_4.data,mutKNN,4,RBF,True,True,LapRLS,0.1,0,65,0.6614553610483805,0,0.5,0.2803391626921038
52,ace_ECFP_4.data,mutKNN,4,HM,True,True,LapRLS,0.02,0,76,0.6765773177146912,0,0.5,0.3184275184275184
53,ace_ECFP_4.data,mutKNN,4,HM,True,True,LapRLS,0.05,0,127,0.6875998934110006,0,0.5,0.3230963883137796
54,ace_ECFP_4.data,mutKNN,4,HM,True,True,LapRLS,0.08,0,40,0.6979639212290446,0,0.5,0.2813295975547631
55,ace_ECFP_4.data,mutKNN,4,HM,True,True,LapRLS,0.1,0,65,0.7094545841217041,0,0.5,0.2803391626921038
56,ace_ECFP_4.data,mutKNN,4,LLE,True,True,LapRLS,0.02,0,76,0.7217069427172343,0,0.5,0.3184275184275184
57,ace_ECFP_4.data,mutKNN,4,LLE,True,True,LapRLS,0.05,0,127,0.7329212705294291,0,0.5,0.3230963883137796
58,ace_ECFP_4.data,mutKNN,4,LLE,True,True,LapRLS,0.08,0,40,0.7441512862841289,0,0.5,0.2813295975547631
59,ace_ECFP_4.data,mutKNN,4,LLE,True,True,LapRLS,0.1,0,65,0.7558850844701132,0,0.5,0.2803391626921038
60,ace_ECFP_4.data,symKNN,4,RBF,True,True,LapRLS,0.02,0,76,0.7692124009132385,0,0.5,0.3184275184275184
61,ace_ECFP_4.data,symKNN,4,RBF,True,True,LapRLS,0.05,0,127,0.7806887070337931,0,0.5,0.3230963883137796
62,ace_ECFP_4.data,symKNN,4,RBF,True,True,LapRLS,0.08,0,40,0.7907213250796,0,0.5,0.2813295975547631
63,ace_ECFP_4.data,symKNN,4,RBF,True,True,LapRLS,0.1,0,65,0.8018280069033304,0,0.5,0.2803391626921038
64,ace_ECFP_4.data,symKNN,4,HM,True,True,LapRLS,0.02,0,76,0.8161675492922466,0,0.5,0.3184275184275184
65,ace_ECFP_4.data,symKNN,4,HM,True,True,LapRLS,0.05,0,127,0.8267584681510926,0,0.5,0.3230963883137796
66,ace_ECFP_4.data,symKNN,4,HM,True,True,LapRLS,0.08,0,40,0.8378472089767456,0,0.5,0.2813295975547631
67,ace_ECFP_4.data,symKNN,4,HM,True,True,LapRLS,0.1,0,65,0.8485223293304444,0,0.5,0.2803391626921038
68,ace_ECFP_4.data,symKNN,4,LLE,True,True,LapRLS,0.02,0,76,0.8610740741093953,0,0.5,0.3184275184275184
69,ace_ECFP_4.data,symKNN,4,LLE,True,True,LapRLS,0.05,0,127,0.8730668743451436,0,0.5,0.3230963883137796
70,ace_ECFP_4.data,symKNN,4,LLE,True,True,LapRLS,0.08,0,40,0.8860846360524496,0,0.5,0.2813295975547631
71,ace_ECFP_4.data,symKNN,4,LLE,True,True,LapRLS,0.1,0,65,0.8996711691220601,0,0.5,0.2803391626921038
72,ace_ECFP_4.data,symFKNN,4,RBF,True,True,LapRLS,0.02,0,76,0.9200017134348552,0,0.5,0.3184275184275184
73,ace_ECFP_4.data,symFKNN,4,RBF,True,True,LapRLS,0.05,0,127,0.9406055251757304,0,0.5,0.3230963883137796
74,ace_ECFP_4.data,symFKNN,4,RBF,True,True,LapRLS,0.08,0,40,0.9570430278778076,0,0.5,0.2813295975547631
75,ace_ECFP_4.data,symFKNN,4,RBF,True,True,LapRLS,0.1,0,65,0.9719184001286824,0,0.5,0.2803391626921038
76,ace_ECFP_4.data,symFKNN,4,HM,True,True,LapRLS,0.02,0,76,0.9925227681795756,0,0.5,0.3184275184275184
77,ace_ECFP_4.data,symFKNN,4,HM,True,True,LapRLS,0.05,0,127,1.0061097502708436,0,0.5,0.3230963883137796
78,ace_ECFP_4.data,symFKNN,4,HM,True,True,LapRLS,0.08,0,40,1.0164910236994424,0,0.5,0.2813295975547631
79,ace_ECFP_4.data,symFKNN,4,HM,True,True,LapRLS,0.1,0,65,1.0275311907132467,0,0.5,0.2803391626921038
80,ace_ECFP_4.data,symFKNN,4,LLE,True,True,LapRLS,0.02,0,76,1.0397822380065918,0,0.5,0.3184275184275184
81,ace_ECFP_4.data,symFKNN,4,LLE,True,True,LapRLS,0.05,0,127,1.050616550445557,0,0.5,0.3230963883137796
82,ace_ECFP_4.data,symFKNN,4,LLE,True,True,LapRLS,0.08,0,40,1.0624887625376382,0,0.5,0.2813295975547631
83,ace_ECFP_4.data,symFKNN,4,LLE,True,True,LapRLS,0.1,0,65,1.0731813510258992,0,0.5,0.2803391626921038
84,ace_ECFP_4.data,MST,4,RBF,True,True,LapRLS,0.02,0,76,1.089112655321757,0,0.5,0.3184275184275184
85,ace_ECFP_4.data,MST,4,RBF,True,True,LapRLS,0.05,0,127,1.099761418501536,0,0.5,0.3230963883137796
86,ace_ECFP_4.data,MST,4,RBF,True,True,LapRLS,0.08,0,40,1.111003828048706,0,0.5,0.2813295975547631
87,ace_ECFP_4.data,MST,4,RBF,True,True,LapRLS,0.1,0,65,1.1216197888056436,0,0.5,0.2803391626921038
88,ace_ECFP_4.data,MST,4,HM,True,True,LapRLS,0.02,0,76,1.1374759991963703,0,0.5,0.3184275184275184
89,ace_ECFP_4.data,MST,4,HM,True,True,LapRLS,0.05,0,127,1.147592051823934,0,0.5,0.3230963883137796
90,ace_ECFP_4.data,MST,4,HM,True,True,LapRLS,0.08,0,40,1.1585121393203734,0,0.5,0.2813295975547631
91,ace_ECFP_4.data,MST,4,HM,True,True,LapRLS,0.1,0,65,1.1689783692359923,0,0.5,0.2803391626921038
